season,episode,title,rating,votes,episode_year
1,1,The One Where Monica Gets a Roommate,8.1,12040,1994
1,2,The One with the Sonogram at the End,7.8,9384,1994
1,3,The One with the Thumb,8,8829,1994
1,4,The One with George Stephanopoulos,7.9,8556,1994
1,5,The One with the East German Laundry Detergent,8.3,8561,1994
1,6,The One with the Butt,7.9,8111,1994
1,7,The One with the Blackout,8.9,10042,1994
1,8,The One Where Nana Dies Twice,7.9,7947,1994
1,9,The One Where Underdog Gets Away,8.1,7698,1994
1,10,The One with the Monkey,7.9,7694,1994
1,11,The One with Mrs. Bing,8,7577,1995
1,12,The One with the Dozen Lasagnas,8,7426,1995
1,13,The One with the Boobies,8.5,7929,1995
1,14,The One with the Candy Hearts,8.1,7301,1995
1,15,The One with the Stoned Guy,8,7357,1995
1,16,The One with Two Parts: Part 1,7.9,7223,1995
1,17,The One with Two Parts: Part 2,8.3,7361,1995
1,18,The One with All the Poker,8.7,8069,1995
1,19,The One Where the Monkey Gets Away,7.9,7049,1995
1,20,The One with the Evil Orthodontist,7.7,7004,1995
1,21,The One with the Fake Monica,7.6,7060,1995
1,22,The One with the Ick Factor,8.1,7008,1995
1,23,The One with the Birth,8.6,7450,1995
1,24,The One Where Rachel Finds Out,8.8,7832,1995
2,1,The One with Ross's New Girlfriend,8.4,7195,1995
2,2,The One with the Breast Milk,8,6842,1995
2,3,The One Where Heckles Dies,8.2,6914,1995
2,4,The One with Phoebe's Husband,7.7,6659,1995
2,5,The One with Five Steaks and an Eggplant,8.1,6704,1995
2,6,The One with the Baby on the Bus,8.4,7159,1995
2,7,The One Where Ross Finds Out,8.9,8126,1995
2,8,The One with the List,8.3,6791,1995
2,9,The One with Phoebe's Dad,7.8,6453,1995
2,10,The One with Russ,7.8,6761,1996
2,11,The One with the Lesbian Wedding,7.9,6641,1996
2,12,The One After the Superbowl: Part 1,8.5,6942,1996
2,13,The One After the Superbowl: Part 2,8.7,7172,1996
2,14,The One with the Prom Video,9.3,10134,1996
2,15,The One Where Ross and Rachel... You Know,8.7,7142,1996
2,16,The One Where Joey Moves Out,8.5,6499,1996
2,17,The One Where Eddie Moves In,8.1,6342,1996
2,18,The One Where Dr. Ramoray Dies,8.3,6344,1996
2,19,The One Where Eddie Won't Go,8.3,6498,1996
2,20,The One Where Old Yeller Dies,8,6171,1996
2,21,The One with the Bullies,7.9,6243,1996
2,22,The One with the Two Parties,8.9,7705,1996
2,23,The One with the Chicken Pox,7.9,6252,1996
2,24,The One with Barry and Mindy's Wedding,8.1,6308,1996
3,1,The One with the Princess Leia Fantasy,8.2,6480,1996
3,2,The One Where No One's Ready,8.9,8665,1996
3,3,The One with the Jam,7.8,6157,1996
3,4,The One with the Metaphorical Tunnel,7.8,5930,1996
3,5,The One with Frank Jr.,8,6079,1996
3,6,The One with the Flashback,9,7837,1996
3,7,The One with the Race Car Bed,8.1,6000,1996
3,8,The One with the Giant Poking Device,8.2,6019,1996
3,9,The One with the Football,8.9,8186,1996
3,10,The One Where Rachel Quits,8,6060,1996
3,11,The One Where Chandler Can't Remember Which Sister,8.4,6248,1997
3,12,The One with All the Jealousy,8,5887,1997
3,13,The One Where Monica and Richard Are Just Friends,8.1,5928,1997
3,14,The One with Phoebe's Ex-Partner,7.6,5934,1997
3,15,The One Where Ross and Rachel Take a Break,8.4,6367,1997
3,16,The One with the Morning After,9,7715,1997
3,17,The One Without the Ski Trip,8.2,5983,1997
3,18,The One with the Hypnosis Tape,8.2,6028,1997
3,19,The One with the Tiny T-Shirt,8,5794,1997
3,20,The One with the Dollhouse,7.9,5764,1997
3,21,The One with a Chick and a Duck,8.6,6140,1997
3,22,The One with the Screamer,8.1,5849,1997
3,23,The One with Ross's Thing,7.8,5764,1997
3,24,The One with the Ultimate Fighting Champion,8,5993,1997
3,25,The One at the Beach,8.7,6586,1997
4,1,The One with the Jellyfish,8.9,7488,1997
4,2,The One with the Cat,7.9,5902,1997
4,3,The One with the 'Cuffs,8.4,6050,1997
