season,episode,title,rating,votes
1,1,eps1.0_hellofriend.mov,9.2,25822
1,2,eps1.1_ones-and-zer0es.mpeg,8.4,16961
1,3,eps1.2_d3bug.mkv,8,15329
1,4,eps1.3_da3m0ns.mp4,7.9,17082
1,5,eps1.4_3xpl0its.wmv,8.4,13828
1,6,eps1.5_br4ve-trave1er.asf,9.1,16541
1,7,eps1.6_v1ew-s0urce.flv,8.4,13136
1,8,eps1.7_wh1ter0se.m4v,9.4,19294
1,9,eps1.8_m1rr0r1ng.qt,9.2,16423
1,10,eps1.9_zer0-day.avi,8.7,14165
2,1,eps2.0_unm4sk-pt1.tc,8.1,11314
2,2,eps2.0_unm4sk-pt2.tc,8.1,10622
2,3,eps2.1_k3rnel-pan1c.ksd,8.3,10386
2,4,eps2.2_init_1.asec,8.2,9838
2,5,eps2.3_logic-b0mb.hc,8.8,10095
2,6,eps2.4_m4ster-s1ave.aes,9,11693
2,7,eps2.5_h4ndshake.sme,9.2,12175
2,8,eps2.6_succ3ss0r.p12,8.5,9154
2,9,eps2.7_init_5.fve,8.5,8896
2,10,eps2.8_h1dden-pr0cess.axx,9.2,11084
2,11,eps2.9_pyth0n-pt1.p7z,8.4,9033
2,12,eps2.9_pyth0n-pt2.p7z,8.8,9886
3,1,eps3.0_power-saver-mode.h,8.7,10006
3,2,eps3.1_undo.gz,9.1,9762
3,3,eps3.2_legacy.so,8.7,9193
3,4,eps3.3_m3tadata.par2,8.2,8489
3,5,eps3.4_runtime-err0r.r00,9.7,19165
3,6,eps3.5_kill-pr0cess.inc,9.7,17121
3,7,eps3.6_fredrick+tanya.chk,9,9826
3,8,eps3.7_dont-delete-me.ko,9.2,12189
3,9,eps3.8_stage3.torrent,8.6,8305
3,10,shutdown -r,9.6,13961
4,1,401 Unauthorized,9.3,12968
4,2,402 Payment Required,8.7,10496
4,3,403 Forbidden,8.6,10560
4,4,404 Not Found,8.8,12522
4,5,405 Method Not Allowed,9.7,20780
4,6,406 Not Acceptable,9.1,11524
4,7,407 Proxy Authentication Required,9.9,47109
4,8,408 Request Timeout,9.3,12495
4,9,409 Conflict,9.7,20255
4,10,410 Gone,8.1,12115
4,11,eXit,9.4,14692
4,12,whoami,9.5,15940
4,13,"Hello, Elliot",9.8,31080
