director_rank,director_display_name,n_films,first_year,last_year,lifetime_revenue,lifetime_revenue_2025,avg_revenue_per_film,avg_revenue_per_film_2025,avg_vote
1,Steven Spielberg,37,1971,2026,10957882234,25578279334.406128,296158979.2972973,710507759.289059,7.17854054054054
2,James Cameron,11,1984,2026,10304959745,16059747755.102253,936814522.2727273,1605974775.5102253,7.5758
3,Russo Brothers,7,2002,2022,6857152975,8882475790.504366,979593282.1428572,1268925112.9291952,7.176714285714286
4,Peter Jackson,14,1989,2022,6562166710,10403892245.62427,468726193.5714286,743135160.4017335,7.466846153846154
5,Michael Bay,14,1995,2022,6505294280,10165460332.01955,464663877.14285713,726104309.4299679,6.613428571428571
6,David Yates,8,2007,2022,6396174415,9027223724.666245,799521801.875,1128402965.5832806,7.2326250000000005
7,Christopher Nolan,13,1999,2023,6175525741,8512578437.720369,475040441.61538464,654813725.9784899,7.8373333333333335
8,Ridley Scott,28,1979,2024,4978315147,7892677512.273201,177796969.5357143,281881339.7240429,6.79375
9,Tim Burton,20,1985,2024,4931254540,8290436071.843541,246562727,414521803.5921771,6.96335
10,J.J. Abrams,6,2006,2019,4655168567,6388191233.170374,775861427.8333334,1064698538.8617289,6.968833333333333
