season,episode,title,rating,votes
1,1,Chapter One: The Vanishing of Will Byers,8.6,58077
1,2,Chapter Two: The Weirdo on Maple Street,8.3,49128
1,3,"Chapter Three: Holly, Jolly",8.8,48438
1,4,Chapter Four: The Body,8.9,47852
1,5,Chapter Five: The Flea and the Acrobat,8.6,45647
1,6,Chapter Six: The Monster,8.8,45520
1,7,Chapter Seven: The Bathtub,9,47679
1,8,Chapter Eight: The Upside Down,9.3,54820
2,1,Chapter One: MADMAX,8.1,43765
2,2,"Chapter Two: Trick or Treat, Freak",8.2,41939
2,3,Chapter Three: The Pollywog,8.5,40978
2,4,Chapter Four: Will the Wise,8.5,40977
2,5,Chapter Five: Dig Dug,8.7,41191
2,6,Chapter Six: The Spy,9.1,44771
2,7,Chapter Seven: The Lost Sister,6,60599
2,8,Chapter Eight: The Mind Flayer,9.2,47488
2,9,Chapter Nine: The Gate,9.3,50629
3,1,"Chapter One: Suzie, Do You Copy?",7.8,45830
3,2,Chapter Two: The Mall Rats,7.9,43217
3,3,Chapter Three: The Case of the Missing Lifeguard,8.2,41515
3,4,Chapter Four: The Sauna Test,8.9,44136
3,5,Chapter Five: The Flayed,8.5,40851
3,6,Chapter Six: E Pluribus Unum,8.5,41091
3,7,Chapter Seven: The Bite,8.7,42132
3,8,Chapter Eight: The Battle of Starcourt,9.3,57773
4,1,Chapter One: The Hellfire Club,8.1,48092
4,2,Chapter Two: Vecna's Curse,8.1,43875
4,3,Chapter Three: The Monster and the Superhero,8.3,42784
4,4,Chapter Four: Dear Billy,9.5,73066
4,5,Chapter Five: The Nina Project,8.1,42056
4,6,Chapter Six: The Dive,8.5,42689
4,7,Chapter Seven: The Massacre at Hawkins Lab,9.6,82369
4,8,Chapter Eight: Papa,8.7,46250
4,9,Chapter Nine: The Piggyback,9.2,63909
5,1,Chapter One: The Crawl,7.8,82715
5,2,Chapter Two: The Vanishing of Holly Wheeler,8.3,79890
5,3,Chapter Three: The Turnbow Trap,8.4,80183
5,4,Chapter Four: Sorcerer,9.3,123649
5,5,Chapter Five: Shock Jock,7.8,87653
5,6,Chapter Six: Escape from Camazotz,7.9,92842
5,7,Chapter Seven: The Bridge,5.6,191961
5,8,Chapter Eight: The Rightside Up,7.5,175858
