season,episode,title,rating,votes,episode_year
1,1,Pilot,7.9,23281,2013
1,2,Lawnmower Dog,8.6,22763,2013
1,3,Anatomy Park,8.2,20918,2013
1,4,M. Night Shaym-Aliens!,8.6,20887,2014
1,5,Meeseeks and Destroy,9,23042,2014
1,6,Rick Potion #9,9.1,22914,2014
1,7,Raising Gazorpazorp,7.8,19110,2014
1,8,Rixty Minutes,8.6,20812,2014
1,9,Something Ricked This Way Comes,8.3,18902,2014
1,10,Close Rick-Counters of the Rick Kind,9.3,23821,2014
1,11,Ricksy Business,8.4,18623,2014
2,1,A Rickle in Time,8.8,20600,2015
2,2,Mortynight Run,8.8,19426,2015
2,3,Auto Erotic Assimilation,8.5,18834,2015
2,4,Total Rickall,9.5,26805,2015
2,5,Get Schwifty,8.2,18740,2015
2,6,The Ricks Must Be Crazy,9.3,22432,2015
2,7,Big Trouble in Little Sanchez,8.4,17710,2015
2,8,Interdimensional Cable 2: Tempting Fate,7.6,18186,2015
2,9,Look Who's Purging Now,8.5,18221,2015
2,10,The Wedding Squanchers,9.3,22079,2015
3,1,The Rickshank Rickdemption,9.6,31696,2017
3,2,Rickmancing the Stone,8.1,18523,2017
3,3,Pickle Rick,9.4,28081,2017
3,4,Vindicators 3: The Return of Worldender,8.1,18381,2017
3,5,The Whirly Dirly Conspiracy,8.4,17653,2017
3,6,Rest and Ricklaxation,8.8,19213,2017
3,7,The Ricklantis Mixup,9.7,45311,2017
3,8,Morty's Mind Blowers,8.9,18926,2017
3,9,The ABCs of Beth,7.8,16354,2017
3,10,The Rickchurian Mortydate,8.2,16530,2017
4,1,Edge of Tomorty: Rick Die Rickpeat,8.9,20273,2019
4,2,The Old Man and the Seat,8.3,18180,2019
4,3,One Crew over the Crewcoo's Morty,8.2,17504,2019
4,4,Claw and Hoarder: Special Ricktim's Morty,7.3,17742,2019
4,5,Rattlestar Ricklactica,8.8,17363,2019
4,6,Never Ricking Morty,8,16365,2020
4,7,Promortyus,8,14216,2020
4,8,The Vat of Acid Episode,9.5,22155,2020
4,9,Childrick of Mort,7.7,13912,2020
4,10,Star Mort Rickturn of the Jerri,9,16067,2020
5,1,Mort Dinner Rick Andre,9,19989,2021
5,2,Mortyplicity,8.7,17739,2021
5,3,A Rickconvenient Mort,7.8,16247,2021
5,4,Rickdependence Spray,5.7,18292,2021
5,5,Amortycan Grickfitti,7,13565,2021
5,6,Rick & Morty's Thanksploitation Spectacular,7.1,13796,2021
5,7,Gotron Jerrysis Rickvangelion,6.3,13336,2021
5,8,Rickternal Friendshine of the Spotless Mort,8.2,13649,2021
5,9,Forgetting Sarick Mortshall,8.2,12417,2021
5,10,Rickmurai Jack,9.3,18526,2021
6,1,Solaricks,8.6,14100,2022
6,2,Rick: A Mort Well Lived,7.8,11646,2022
6,3,Bethic Twinstinct,7.7,12182,2022
6,4,Night Family,8.5,12632,2022
6,5,Final DeSmithation,8.2,11220,2022
6,6,Juricksic Mort,7.8,10542,2022
6,7,Full Meta Jackrick,7.8,10439,2022
6,8,Analyze Piss,8.4,10494,2022
6,9,A Rick in King Mortur's Mort,7.4,9388,2022
6,10,Ricktional Mortpoon's Rickmas Mortcation,8,9365,2022
7,1,How Poopy Got His Poop Back,6.2,12937,2023
7,2,The Jerrick Trap,7.3,11054,2023
7,3,Air Force Wong,6.8,10517,2023
7,4,That's Amorte,8.4,13146,2023
7,5,Unmortricken,9.2,16454,2023
7,6,Rickfending Your Mort,7.8,10117,2023
7,7,Wet Kuat Amortican Summer,6.4,9692,2023
7,8,Rise of the Numbericons: The Movie,4.4,12914,2023
7,9,Mort: Ragnarick,7.9,10104,2023
7,10,Fear No Mort,9.4,16386,2023
8,1,Summer of All Fears,8.3,10955,2025
8,2,Valkyrick,7.1,8498,2025
8,3,"The Rick, The Mort & The Ugly",7.9,9103,2025
8,4,The Last Temptation of Jerry,6.3,8291,2025
8,5,Cryo Mort a Rickver,7.1,7333,2025
8,6,The Curicksous Case of Bethjamin Button,7.4,7417,2025
8,7,Ricker Than Fiction,6.7,6991,2025
8,8,Nomortland,8,7575,2025
8,9,Morty Daddy,6.6,6165,2025
8,10,Hot Rick,8.9,9086,2025
9,1,There's Something About Morty,8.8,11135,2026
9,2,"Ricks Days, Seven Nights",8.8,9545,2026
9,3,Rick Fu Hustle,7.1,7753,2026
9,4,A Ricker Runs Through It,7.5,6611,2026
9,5,Jer Bud,7.6,6164,2026
9,6,Erickerhead,8,6256,2026
9,7,Mortgully: The Last Rickforest,9.2,9119,2026
9,8,Rickuiem Mort a Dream,8.3,5893,2026
9,9,Salute Your Morts,7.5,5303,2026
9,10,Field of Dreams,9.2,7289,2026
