season,episode,title,rating,votes,episode_year
1,1,Pilot,7.8,5328,2009
1,2,The Night of the Comet,7.5,3748,2009
1,3,Friday Night Bites,7.9,3380,2009
1,4,Family Ties,7.9,3158,2009
1,5,You're Undead to Me,8.2,3112,2009
1,6,Lost Girls,8.4,3161,2009
1,7,Haunted,8.2,2963,2009
1,8,162 Candles,8.3,2977,2009
1,9,History Repeating,8.1,2845,2009
1,10,The Turning Point,8.3,2851,2009
1,11,Bloodlines,8.2,2860,2010
1,12,Unpleasantville,8.1,2723,2010
1,13,Children of the Damned,8.3,2723,2010
1,14,Fool Me Once,8.6,2785,2010
1,15,A Few Good Men,8,2615,2010
1,16,There Goes the Neighborhood,7.8,2583,2010
1,17,Let the Right One In,8.6,2704,2010
1,18,Under Control,8.1,2599,2010
1,19,Miss Mystic Falls,8.3,2827,2010
1,20,Blood Brothers,8.2,2638,2010
1,21,Isobel,8.4,2697,2010
1,22,Founder's Day,9.2,3888,2010
2,1,The Return,8.9,3267,2010
2,2,Brave New World,8.4,2534,2010
2,3,Bad Moon Rising,8.3,2475,2010
2,4,Memory Lane,8.1,2441,2010
2,5,Kill or Be Killed,8.6,2454,2010
2,6,Plan B,8.6,2449,2010
2,7,Masquerade,9,2955,2010
2,8,Rose,8.8,2777,2010
2,9,Katerina,8.5,2469,2010
2,10,The Sacrifice,8.3,2267,2010
2,11,By the Light of the Moon,8.4,2335,2010
2,12,The Descent,8.4,2483,2011
2,13,Daddy Issues,8.1,2231,2011
2,14,Crying Wolf,8,2260,2011
2,15,The Dinner Party,8.3,2247,2011
2,16,The House Guest,8.5,2243,2011
2,17,Know Thy Enemy,8.3,2250,2011
2,18,The Last Dance,8.7,2389,2011
2,19,Klaus,8.8,2588,2011
2,20,The Last Day,8.7,2371,2011
2,21,The Sun Also Rises,9.1,2845,2011
2,22,As I Lay Dying,8.9,2889,2011
3,1,The Birthday,8.5,3051,2011
3,2,The Hybrid,8.4,2461,2011
3,3,The End of the Affair,8.7,2597,2011
3,4,Disturbing Behavior,8.2,2251,2011
3,5,The Reckoning,9.1,2872,2011
3,6,Smells Like Teen Spirit,8.4,2293,2011
3,7,Ghost World,8.5,2326,2011
3,8,Ordinary People,8.7,2366,2011
3,9,Homecoming,8.9,2633,2011
3,10,The New Deal,8.3,2266,2012
3,11,Our Town,8.2,2138,2012
3,12,The Ties That Bind,8.2,2162,2012
3,13,Bringing Out the Dead,8.6,2293,2012
3,14,Dangerous Liaisons,8.6,2335,2012
3,15,All My Children,8.3,2223,2012
3,16,1912,7.7,2084,2012
3,17,Break on Through,7.9,2027,2012
3,18,The Murder of One,8.4,2145,2012
3,19,Heart of Darkness,8.6,2623,2012
3,20,Do Not Go Gentle,8.4,2195,2012
3,21,Before Sunset,8.6,2165,2012
3,22,The Departed,9.4,4796,2012
4,1,Growing Pains,8.7,3495,2012
4,2,Memorial,8.7,2573,2012
4,3,The Rager,8.3,2198,2012
4,4,The Five,8.3,2186,2012
4,5,The Killer,8.2,2020,2012
4,6,We All Go a Little Mad Sometimes,8.2,2138,2012
4,7,My Brother's Keeper,8.7,2710,2012
4,8,We'll Always Have Bourbon Street,8.3,2132,2012
4,9,"O Come, All Ye Faithful",8.5,2179,2012
4,10,After School Special,8.3,2119,2013
4,11,Catch Me If You Can,7.9,1919,2013
4,12,A View to a Kill,8.5,2000,2013
4,13,Into the Wild,8,1927,2013
4,14,Down the Rabbit Hole,8.5,2007,2013
4,15,Stand by Me,8.7,2187,2013
4,16,Bring It On,7.6,1946,2013
4,17,Because the Night,8,1810,2013
4,18,American Gothic,8.4,1937,2013
4,19,Pictures of You,8.2,1904,2013
4,20,The Originals,8.6,2457,2013
4,21,She's Come Undone,8.3,1862,2013
4,22,The Walking Dead,8.6,2051,2013
4,23,Graduation,9.1,3065,2013
5,1,I Know What You Did Last Summer,8.2,2749,2013
5,2,True Lies,7.8,1904,2013
5,3,Original Sin,8.2,1961,2013
5,4,For Whom the Bell Tolls,8.1,1875,2013
5,5,Monster's Ball,7.8,1772,2013
5,6,Handle with Care,7.9,1744,2013
5,7,Death and the Maiden,8,1741,2013
5,8,Dead Man on Campus,7.7,1697,2013
5,9,The Cell,8.1,1725,2013
5,10,Fifty Shades of Grayson,7.8,1709,2013
5,11,500 Years of Solitude,8.6,2280,2014
5,12,The Devil Inside,7.8,1687,2014
5,13,Total Eclipse of the Heart,7.7,1623,2014
5,14,No Exit,7.8,1599,2014
5,15,Gone Girl,8.6,1893,2014
5,16,While You Were Sleeping,7.7,1623,2014
5,17,Rescue Me,7.9,1554,2014
5,18,Resident Evil,7.8,1628,2014
5,19,Man on Fire,7.8,1522,2014
5,20,What Lies Beneath,7.6,1515,2014
5,21,Promised Land,8.5,1829,2014
5,22,Home,8.9,2687,2014
6,1,I'll Remember,7.7,2012,2014
6,2,Yellow Ledbetter,8.3,1843,2014
6,3,Welcome to Paradise,7.8,1666,2014
6,4,Black Hole Sun,7.9,1602,2014
6,5,The World Has Turned and Left Me Here,8.6,1881,2014
6,6,"The More You Ignore Me, the Closer I Get",7.9,1615,2014
6,7,Do You Remember the First Time?,8.1,1696,2014
6,8,Fade Into You,8.2,1555,2014
6,9,I Alone,8,1473,2014
6,10,Christmas Through Your Eyes,7.9,1505,2014
6,11,Woke Up with a Monster,7.9,1513,2015
6,12,Prayer for the Dying,8.1,1476,2015
6,13,The Day I Tried to Live,8,1470,2015
6,14,Stay,8.3,1654,2015
6,15,Let Her Go,8.7,1851,2015
6,16,The Downward Spiral,8.4,1767,2015
6,17,A Bird in a Gilded Cage,8,1467,2015
6,18,I Could Never Love Like That,7.7,1420,2015
6,19,Because,7.9,1404,2015
6,20,I'd Leave My Happy Home for You,7.9,1431,2015
6,21,I'll Wed You in the Golden Summertime,8.5,1674,2015
6,22,I'm Thinking of You All the While,8.8,2292,2015
7,1,"Day One of Twenty-Two Thousand, Give or Take",8.1,1775,2015
7,2,Never Let Me Go,7.9,1445,2015
7,3,Age of Innocence,7.9,1395,2015
7,4,I Carry Your Heart with Me,8,1398,2015
7,5,Live Through This,8.1,1354,2015
7,6,Best Served Cold,8,1339,2015
7,7,Mommie Dearest,8.1,1314,2015
7,8,"Hold Me, Thrill Me, Kiss Me, Kill Me",8.1,1343,2015
7,9,Cold as Ice,8.1,1376,2015
7,10,Hell Is Other People,8.7,1823,2016
7,11,Things We Lost in the Fire,7.7,1290,2016
7,12,Postcards from the Edge,7.9,1267,2016
7,13,This Woman's Work,8.3,1308,2016
7,14,Moonlight on the Bayou,8.6,1480,2016
7,15,I Would for You,8.2,1260,2016
7,16,Days of Future Past,7.8,1349,2016
7,17,I Went to the Woods,8.1,1295,2016
7,18,One Way or Another,7.7,1171,2016
7,19,Somebody That I Used to Know,7.6,1181,2016
7,20,Kill 'Em All,7.7,1166,2016
7,21,Requiem for a Dream,8,1222,2016
7,22,Gods and Monsters,8.1,1406,2016
8,1,"Hello, Brother",8.2,1903,2016
8,2,Today Will Be Different,7.8,1400,2016
8,3,You Decided That I Was Worth Saving,7.9,1337,2016
8,4,An Eternity of Misery,7.9,1307,2016
8,5,Coming Home Was a Mistake,7.7,1254,2016
8,6,Detoured on Some Random Backwoods Path to Hell,7.9,1262,2016
8,7,"The Next Time I Hurt Somebody, It Could Be You",7.8,1257,2016
8,8,We Have History Together,7.5,1258,2017
8,9,The Simple Intimacy of the Near Touch,7.8,1216,2017
8,10,Nostalgia's a Bitch,8.5,1478,2017
8,11,You Made a Choice to Be Good,8.9,1843,2017
8,12,What Are You?,8.1,1282,2017
8,13,The Lies Will Catch Up to You,8,1258,2017
8,14,It's Been a Hell of a Ride,8.7,1581,2017
8,15,We're Planning a June Wedding,8.7,1621,2017
8,16,I Was Feeling Epic,9.3,4911,2017
