season,episode,title,rating,votes
1,1,Our Cup Runneth Over,7,3482
1,2,The Drip,7.2,2900
1,3,"Don't Worry, It's His Sister",7.5,2731
1,4,Bad Parents,7.4,2515
1,5,The Cabin,7.8,2512
1,6,Wine and Roses,7.5,2431
1,7,Turkey Shoot,7.5,2318
1,8,Allez-Vous,7.2,2239
1,9,Carl's Funeral,7.5,2241
1,10,Honeymoon,7.9,2288
1,11,Little Sister,7.3,2166
1,12,Surprise Party,7.8,2141
1,13,Town for Sale,7.9,2177
2,1,Finding David,7.7,2134
2,2,Family Dinner,7.8,2068
2,3,Jazzagals,7.4,1947
2,4,Estate Sale,7.6,1913
2,5,Bob's Bagels,7.8,1926
2,6,Moira vs. Town Council,7.6,1884
2,7,The Candidate,7.5,1826
2,8,Milk Money,8,1891
2,9,Moira's Nudes,8.1,1907
2,10,Ronnie's Party,7.6,1797
2,11,The Motel Guest,7.7,1808
2,12,Lawn Signs,7.9,1840
2,13,Happy Anniversary,8.9,2852
3,1,Opening Night,7.7,1881
3,2,The Throuple,7.8,1817
3,3,New Car,8.1,1874
3,4,Driving Test,7.7,1762
3,5,Rooms by the Hour,7.8,1773
3,6,Murder Mystery,7.5,1727
3,7,General Store,7.6,1731
3,8,Motel Review,7.9,1764
3,9,The Affair,8.1,1746
3,10,Sebastien Raine,7.4,1698
3,11,Stop Saying Lice!,8,1750
3,12,Friends & Family,8.4,1820
3,13,Grad Night,8.9,2322
4,1,Dead Guy in Room 4,7.8,1773
4,2,Pregnancy Test,8,1742
4,3,Asbestos Fest,7.4,1653
4,4,Girls' Night,7.7,1677
4,5,RIP Moira Rose,8.1,1713
4,6,Open Mic,8.8,2635
4,7,The Barbecue,8.2,1734
4,8,The Jazzaguy,8,1647
4,9,The Olive Branch,8.5,2198
4,10,Baby Sprinkle,7.7,1647
4,11,The Rollout,8,1615
4,12,Singles Week,9,2361
4,13,"Merry Christmas, Johnny Rose",8.6,1856
5,1,The Crowening,7.9,1747
5,2,Love Letters,7.8,1611
5,3,The Plant,7.9,1586
5,4,The Dress,7.7,1556
5,5,Housewarming,8.3,1756
5,6,Rock On!,7.7,1563
5,7,A Whisper of Desire,7.7,1542
5,8,The Hospies,8.1,1635
5,9,The M.V.P.,8.2,1673
5,10,Roadkill,7.4,1611
5,11,Meet the Parents,9.1,2490
5,12,The Roast,8,1542
5,13,The Hike,8.9,2051
5,14,Life Is a Cabaret,9.1,2285
6,1,Smoke Signals,8,1652
6,2,The Incident,8.2,1647
6,3,The Job Interview,7.7,1510
6,4,Maid of Honour,7.7,1492
6,5,The Premiere,8.3,1581
6,6,The Wingman,7.6,1510
6,7,Moira Rosé,8.3,1624
6,8,The Presidential Suite,8.5,1733
6,9,Rebound,7.8,1477
6,10,"Sunrise, Sunset",8.1,1505
6,11,The Bachelor Party,8.3,1563
6,12,The Pitch,8.7,1686
6,13,Start Spreading the News,9.2,2253
6,14,Happy Ending,9.3,2992
