season,episode,title,rating,votes
1,1,The Heirs of the Dragon,8.7,83696
1,2,The Rogue Prince,8.3,67054
1,3,Second of His Name,8.7,68410
1,4,King of the Narrow Sea,8.4,57817
1,5,We Light the Way,8.8,58522
1,6,The Princess and the Queen,8,51923
1,7,Driftmark,9.1,58220
1,8,The Lord of the Tides,9.3,64724
1,9,The Green Council,8.7,50485
1,10,The Black Queen,9.3,51783
2,1,A Son for a Son,8.2,44093
2,2,Rhaenyra the Cruel,8.2,38546
2,3,The Burning Mill,7.6,36708
2,4,The Red Dragon and the Gold,9.4,64910
2,5,Regent,7.3,35263
2,6,Smallfolk,6.3,56061
2,7,The Red Sowing,8.8,42062
2,8,The Queen Who Ever Was,6.5,48286
