season,episode,title,rating,votes,episode_year
1,1,Chapter 1: The Mandalorian,8.6,37964,2019
1,2,Chapter 2: The Child,8.5,33825,2019
1,3,Chapter 3: The Sin,8.9,33796,2019
1,4,Chapter 4: Sanctuary,7.8,31889,2019
1,5,Chapter 5: The Gunslinger,7.5,28676,2019
1,6,Chapter 6: The Prisoner,8.3,30050,2019
1,7,Chapter 7: The Reckoning,9,29110,2019
1,8,Chapter 8: Redemption,9.2,31762,2019
2,1,Chapter 9: The Marshal,8.8,31607,2020
2,2,Chapter 10: The Passenger,7.8,27621,2020
2,3,Chapter 11: The Heiress,8.7,27384,2020
2,4,Chapter 12: The Siege,8.3,25126,2020
2,5,Chapter 13: The Jedi,9.3,36972,2020
2,6,Chapter 14: The Tragedy,9.1,28969,2020
2,7,Chapter 15: The Believer,8.9,26409,2020
2,8,Chapter 16: The Rescue,9.7,68123,2020
3,1,Chapter 17: The Apostate,7.4,22312,2023
3,2,Chapter 18: The Mines of Mandalore,8.2,20791,2023
3,3,Chapter 19: The Convert,7,21445,2023
3,4,Chapter 20: The Foundling,7.6,18135,2023
3,5,Chapter 21: The Pirate,8.1,17881,2023
3,6,Chapter 22: Guns for Hire,6.4,23511,2023
3,7,Chapter 23: The Spies,8.7,19870,2023
3,8,Chapter 24: The Return,8.4,18491,2023
